Sample   	OWR	           Timestamp
      385	1  	       57.000,000 us
      386	0  	        8.000,000 us
      387	1  	       57.000,000 us
      388	0  	        8.000,000 us
      389	1  	       57.000,000 us
      390	0  	        8.000,000 us
      391	1  	       57.000,000 us
      392	0  	      525.000,000 us
      393	1  	       57.000,000 us
      394	0  	        7.000,000 us
      395	1  	       57.000,000 us
      396	0  	        8.000,000 us
      397	1  	       57.000,000 us
      398	0  	        8.000,000 us
      399	1  	       57.000,000 us
      400	0  	        8.000,000 us
      401	1  	       57.000,000 us
      402	0  	        8.000,000 us
      403	1  	       57.000,000 us
      404	0  	        8.000,000 us
      405	1  	       57.000,000 us
      406	0  	        8.000,000 us
      407	1  	       56.000,000 us
      408	0  	      530.000,000 us
      409	1  	       56.000,000 us
      410	0  	        8.000,000 us
      411	1  	       57.000,000 us
      412	0  	        8.000,000 us
      413	1  	       57.000,000 us
      414	0  	        8.000,000 us
      415	1  	       57.000,000 us
      416	0  	        8.000,000 us
      417	1  	       57.000,000 us
      418	0  	        8.000,000 us
      419	1  	       57.000,000 us
      420	0  	        8.000,000 us
      421	1  	       57.000,000 us
      422	0  	        8.000,000 us
      423	1  	       56.000,000 us
      424	0  	      530.000,000 us
      425	1  	       56.000,000 us
      426	0  	        8.000,000 us
      427	1  	       57.000,000 us
      428	0  	        8.000,000 us
      429	1  	       57.000,000 us
      430	0  	        8.000,000 us
      431	1  	       57.000,000 us
      432	0  	        8.000,000 us
      433	1  	       57.000,000 us
      434	0  	        8.000,000 us
      435	1  	       57.000,000 us
      436	0  	        8.000,000 us
      437	1  	       56.000,000 us
      438	0  	        8.000,000 us
      439	1  	       57.000,000 us
      440	0  	      529.000,000 us
      441	1  	       10.000,000 us
      442	0  	       57.000,000 us
      443	1  	       10.000,000 us
      444	0  	       57.000,000 us
      445	1  	       10.000,000 us
      446	0  	       57.000,000 us
      447	1  	       56.000,000 us
      448	0  	        8.000,000 us
      449	1  	       57.000,000 us
      450	0  	        8.000,000 us
