Sample   	OWR	           Timestamp
      212	0  	      564.000,000 us
      213	1  	       28.000,000 us
      214	0  	       39.000,000 us
      215	1  	       10.000,000 us
      216	0  	       57.000,000 us
      217	1  	       57.000,000 us
      218	0  	        8.000,000 us
      219	1  	       27.000,000 us
      220	0  	       40.000,000 us
      221	1  	       10.000,000 us
      222	0  	       56.000,000 us
      223	1  	       57.000,000 us
      224	0  	        8.000,000 us
      225	1  	       28.000,000 us
      226	0  	       39.000,000 us
      227	1  	       10.000,000 us
      228	0  	      566.000,000 us
      229	1  	       57.000,000 us
      230	0  	        8.000,000 us
      231	1  	       28.000,000 us
      232	0  	       39.000,000 us
      233	1  	       10.000,000 us
      234	0  	       57.000,000 us
      235	1  	       57.000,000 us
      236	0  	        8.000,000 us
      237	1  	       27.000,000 us
      238	0  	       39.000,000 us
      239	1  	       11.000,000 us
      240	0  	       56.000,000 us
      241	1  	       57.000,000 us
      242	0  	        8.000,000 us
      243	1  	       28.000,000 us
      244	0  	      550.000,000 us
      245	1  	       11.000,000 us
      246	0  	       56.000,000 us
      247	1  	       57.000,000 us
      248	0  	        8.000,000 us
      249	1  	       27.000,000 us
      250	0  	       40.000,000 us
      251	1  	       10.000,000 us
      252	0  	       57.000,000 us
      253	1  	       56.000,000 us
      254	0  	        8.000,000 us
      255	1  	       28.000,000 us
      256	0  	       39.000,000 us
      257	1  	       10.000,000 us
      258	0  	       57.000,000 us
      259	1  	       57.000,000 us
      260	0  	      519.000,000 us
      261	1  	       28.000,000 us
      262	0  	       39.000,000 us
      263	1  	       10.000,000 us
      264	0  	       57.000,000 us
      265	1  	       57.000,000 us
      266	0  	        8.000,000 us
      267	1  	       27.000,000 us
      268	0  	       40.000,000 us
      269	1  	       10.000,000 us
      270	0  	       56.000,000 us
      271	1  	       57.000,000 us
      272	0  	        8.000,000 us
      273	1  	       28.000,000 us
      274	0  	       39.000,000 us
      275	1  	       10.000,000 us
      276	0  	      566.000,000 us
      277	1  	       57.000,000 us
      278	0  	        8.000,000 us
      279	1  	       28.000,000 us
      280	0  	       39.000,000 us
      281	1  	       10.000,000 us
      282	0  	       57.000,000 us
      283	1  	       57.000,000 us
      284	0  	        8.000,000 us
